id,x,y
01,24.2,4.75
01,27.0,6.44
01,19.0,6.31
01,16.0,6.8
01,14.5,5.54
01,25.0,5.88
01,16.0,6.04
01,13.0,4.74
01,23.0,4.59
01,20.0,7.0
01,18.0,5.59
01,17.0,5.32
01,14.5,4.28
01,21.0,6.87
01,14.0,5.36
01,11.0,5.57
01,27.0,5.05
01,28.0,6.82
01,18.3,5.7
01,16.7,6.47
01,14.5,5.96
01,22.2,7.45
01,19.0,6.13
01,19.0,4.52
02,13.08,4.85
02,12.0,4.17
02,15.43,5.29
07,17.67,7.67
07,12.18,7.19
07,18.0,7.68
07,13.83,7.25
07,14.25,7.42
07,11.8,4.8
07,12.33,8.04
07,13.75,7.61
07,14.0,5.95
03,26.0,4.68
03,16.0,4.75
03,30.5,3.19
03,26.84,4.57
03,26.5,5.22
03,23.0,5.16
03,28.5,6.62
03,26.93,6.43
03,13.0,4.86
03,22.0,4.36
03,29.0,6.41
03,26.0,4.81
03,20.0,5.31
03,24.0,4.48
03,19.0,5.29
03,26.2,4.79
03,23.0,5.53
03,23.5,5.13
03,24.0,6.14
03,26.33,6.56
03,23.5,5.09
03,15.0,4.57
03,22.0,4.93
03,29.0,4.43
03,21.8,5.22
03,22.0,4.84
03,17.0,4.91
03,24.2,5.14
03,24.7,5.21
03,26.5,5.47
03,27.0,6.79
03,28.33,6.24
03,24.28,4.92
03,27.0,4.36
03,24.0,5.62
03,29.5,5.18
04,14.47,4.48
04,26.0,4.22
04,11.5,4.94
04,15.0,4.74
04,13.5,5.04
04,16.75,4.75
05,25.5,4.84
05,23.0,4.57
05,20.5,5.11
05,23.15,3.84
05,29.8,3.8
05,23.5,4.21
05,26.3,3.97
05,25.5,5.35
05,22.33,4.71
05,20.25,4.22
05,24.5,4.0
05,26.0,4.18
05,26.88,4.56
05,26.0,4.55
05,25.5,5.7
05,25.3,4.81
05,20.0,4.82
05,20.0,4.41
05,27.0,4.08
05,28.92,4.71
05,27.0,5.09
06,16.0,4.0
06,20.0,4.84
06,15.0,5.22
06,12.0,3.0
06,16.0,4.34
06,15.0,4.93
06,15.0,5.54
06,18.0,3.01
06,17.5,4.92
06,18.33,7.17
06,15.0,5.63
06,16.2,3.75
08,26.25,4.28
08,21.0,3.74
08,21.35,4.31
08,20.6,4.39
08,18.33,4.28
08,23.0,5.73
08,18.0,4.82
08,23.0,5.14
08,20.0,3.34
08,22.67,4.04
08,20.0,4.8
08,19.0,4.71
08,17.4,5.22
08,18.67,4.34
08,17.75,5.37
08,18.0,4.6
08,15.0,4.46
08,18.0,3.3
08,25.97,4.46
08,26.0,4.54
08,26.0,4.84
08,23.5,5.29
08,22.0,4.07
08,18.75,5.35
08,20.57,4.52
08,25.0,4.39
08,21.0,4.36
09,22.0,6.04
09,18.0,7.03
09,5.0,6.67
09,16.8,5.67
09,16.0,6.5
09,15.2,5.55
09,13.5,6.97
09,16.0,5.71
09,20.67,6.16
09,17.0,3.87
09,22.0,6.04
09,17.67,7.27
09,5.0,6.37
09,15.4,5.19
09,11.33,6.58
09,16.0,5.39
09,13.0,5.74
09,15.0,5.8
09,10.0,6.31
09,17.0,4.29
09,22.0,5.35
09,18.0,7.72
09,5.0,7.57
09,15.94,7.11
09,17.0,6.18
09,15.5,6.03
09,9.0,6.89
09,14.0,5.85
09,15.5,7.19
09,16.0,4.66
10,20.67,5.59
10,14.0,5.83
10,14.67,5.82
10,24.2,5.38
10,13.6,6.02
10,16.6,5.89
11,17.0,5.49
11,17.0,7.17
11,22.0,7.51
11,15.0,5.03
11,17.0,5.23
11,14.0,6.99
11,22.0,6.1
11,13.0,5.1
11,22.0,6.24
11,24.0,9.21
11,22.0,7.15
11,24.0,5.7
12,22.0,4.67
12,17.0,4.66
12,19.0,4.26
12,16.0,3.38
12,20.0,3.93
12,11.0,4.76
12,15.0,4.37
12,15.25,4.03
12,13.83,3.86
12,19.0,3.48
12,17.0,4.99
12,15.0,5.67
12,13.3,4.66
12,14.5,4.28
12,14.75,4.49
13,11.0,5.03
13,19.0,6.92
13,20.0,6.98
13,11.0,5.45
13,16.0,5.77
13,14.67,6.84
13,11.0,5.48
13,13.0,6.5
13,14.67,7.68
14,16.0,5.66
14,10.0,3.23
14,20.0,4.18
14,10.0,3.95
14,15.0,5.8
14,10.0,4.33
15,15.5,2.61
15,22.0,4.23
15,17.65,2.94
15,11.0,2.86
15,21.0,3.77
15,15.5,2.56
15,24.67,4.1
15,17.83,2.49
15,18.0,3.18
15,12.5,3.24
15,15.5,3.16
15,15.0,5.08
15,15.5,3.06
15,15.0,4.0
15,17.0,3.73
16,14.0,4.41
16,14.13,5.26
16,14.1,4.24
16,13.14,4.6
16,16.33,5.23
16,19.0,3.99
16,13.0,3.99
16,15.33,4.9
16,12.25,3.73
16,12.67,5.33
16,13.67,4.81
16,15.0,3.41
16,14.0,4.23
16,8.25,5.7
16,14.0,4.55
16,11.67,5.48
16,13.5,5.9
16,1.0,3.93
17,12.33,4.28
17,13.0,3.98
17,12.0,4.33
17,13.0,4.1
17,12.5,5.66
17,13.0,3.86
18,18.0,3.42
18,7.0,2.97
18,10.0,3.61
18,16.0,3.78
18,14.6,2.83
18,13.0,3.23
18,7.0,3.45
18,10.0,3.32
18,16.0,2.8
18,14.5,2.71
18,14.0,3.62
18,7.0,4.07
18,10.0,3.85
18,16.0,3.65
18,15.0,3.78
19,12.0,4.72
19,10.0,4.09
19,10.0,3.69
19,15.0,3.59
19,14.0,3.75
19,17.0,3.16
19,12.0,3.97
19,15.67,2.92
19,12.0,4.48
19,8.75,4.07
19,12.0,3.55
19,12.0,3.4
19,15.0,3.97
19,17.0,3.19
19,12.0,3.77
19,9.25,2.78
19,12.0,5.26
19,10.0,4.27
19,12.0,3.82
19,14.0,5.86
19,13.0,5.38
19,17.0,3.81
19,12.0,4.2
19,15.0,2.94
20,7.0,6.28
20,12.0,5.9
20,18.0,4.04
20,9.0,3.82
20,9.0,4.18
20,12.0,4.35
20,10.0,4.0
20,6.0,6.29
20,10.0,4.98
20,13.5,3.99
20,11.0,5.03
20,9.0,5.17
20,12.0,2.97
20,11.0,3.79
20,13.5,6.79
20,1.0,6.01
20,11.0,5.35
20,9.5,5.7
