regions,coeff,dea,corr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
01,0.183409,1090.87,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
02,0.183409,1145.7,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
03,0.183409,1107.5,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
04,0.183409,1008.45,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
05,0.183409,974.92,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
06,0.183409,1000.6700000000001,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
07,0.183409,1086.6899999999998,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
08,0.183409,1163.21,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
09,0.183409,1173.5900000000001,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
10,0.183409,1119.27,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
11,0.183409,1089.22,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
12,0.183409,989.7729999999999,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
13,0.183409,988.694,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
14,0.183409,982.7349999999999,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
15,0.183409,817.8280000000001,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
16,0.183409,903.495,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
17,0.183409,914.2620000000001,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
18,0.183409,749.491,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
19,0.183409,747.502,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
20,0.183409,1046.94,0.133409,0.0,0.9170449999999999,1.8340899999999998,2.7511349999999997,3.6681799999999996,4.585224999999999,5.502269999999999,6.419314999999999,7.336359999999999,8.253404999999999,9.170449999999999,10.087494999999999,11.004539999999999,11.921584999999999,12.838629999999998,13.755674999999998,14.672719999999998,15.589765,16.506809999999998,17.423855,18.340899999999998,19.257945,20.174989999999998,21.092035,22.009079999999997,22.926125,23.843169999999997,24.760215,25.677259999999997,26.594305,27.511349999999997,28.428395,29.345439999999996,30.262484999999998,31.17953,32.096575,33.013619999999996,33.930665,34.84771,35.764755,36.681799999999996,37.598845,38.51589,39.432935,40.349979999999995,41.267025,42.18407,43.101115,44.018159999999995,44.935204999999996,45.85225,46.769295,47.686339999999994,48.603384999999996,49.52043,50.437475,51.354519999999994,52.271564999999995,53.18861,54.105655,55.02269999999999,55.939744999999995,56.85679,57.773835,58.69087999999999,59.607924999999994,60.524969999999996,61.442015,62.35906,63.276104999999994,64.19315,65.11019499999999,66.02723999999999,66.944285,67.86133,68.778375,69.69542,70.612465,71.52951,72.44655499999999,73.36359999999999,74.28064499999999,75.19769,76.114735,77.03178,77.948825,78.86587,79.78291499999999,80.69995999999999,81.61700499999999,82.53405,83.451095,84.36814,85.285185,86.20223,87.11927499999999,88.03631999999999,88.95336499999999,89.87040999999999,90.787455
